2018-12-16 19:59:00.2425 | DEBUG | _12_16_2018_PetStore.Class1 | RA.SetupContext
2018-12-16 20:00:19.7107 | DEBUG | _12_16_2018_PetStore.Class1 | RA.SetupContext
2018-12-16 20:01:38.6507 | DEBUG | _12_16_2018_PetStore.Class1 | RA.HttpActionContext
2018-12-16 20:08:00.6627 | DEBUG | _12_16_2018_PetStore.Class1 | RA.RestAssured
2018-12-16 23:09:07.1508 | DEBUG | _12_16_2018_PetStore.Class1 | Sending request
2018-12-16 23:09:48.1493 | DEBUG | _12_16_2018_PetStore.Class1 | Sending request 'id':'20','name':'mydog','photoUrls':'h,ttp://image.com/image.jpg','status':'available'
2018-12-16 23:10:50.0371 | DEBUG | _12_16_2018_PetStore.Class1 | Sending request {'id':'20','name':'mydog','photoUrls':'h,ttp://image.com/image.jpg','status':'available'}
2018-12-16 23:28:13.4669 | DEBUG | _12_16_2018_PetStore.Class1 | Sending request {"id":"20","name":"mydog","photoUrls":"h,ttp://image.com/image.jpg","status":"available"}
2018-12-16 23:31:44.5027 | DEBUG | _12_16_2018_PetStore.Class1 | Sending request {"id":"20","name":"mydog","photoUrls":"h,ttp://image.com/image.jpg","status":"available"}
2018-12-16 23:35:41.1351 | DEBUG | _12_16_2018_PetStore.Class1 | Sending request {""name"":""mydog""}
2018-12-16 23:40:06.6182 | DEBUG | _12_16_2018_PetStore.Class1 | Sending request {"name":"mydog"}
2018-12-16 23:48:49.7348 | DEBUG | _12_16_2018_PetStore.Class1 | Sending request {"id":"1","name":"mydog","photoUrls":["h,ttp://image.com/image.jpg"],"status":"available"}
2018-12-16 23:49:25.8071 | DEBUG | _12_16_2018_PetStore.Class1 | Sending request {"id":"1","name":"mydog","photoUrls":["http://image.com/image.jpg"],"status":"available"}
2018-12-16 23:50:33.0649 | DEBUG | _12_16_2018_PetStore.Class1 | Sending request {"name":"mydog","photoUrls":["http://image.com/image.jpg"],"status":"available"}
